ENSID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,RNAlater.v.LN
ENSAMXG00000005869,590.439096100754,1.55730229019883,0.241664283519829,6.44407302360447,1.1630907857116e-10,2.18618515611865e-08,Up
ENSAMXG00000008249,46.6164738365496,-3.71513213934329,0.577844148213522,-6.42929784930606,1.28194717658417e-10,2.38056046177009e-08,Down
ENSAMXG00000000278,259.592437804398,-1.31562471066859,0.204763693385784,-6.42508781178261,1.31793415153015e-10,2.41825227113502e-08,Down
ENSAMXG00000002544,578.871332896565,1.34562350142845,0.209528114278775,6.42216203806478,1.34352294023967e-10,2.43620224446047e-08,Up
ENSAMXG00000004378,181.033249677706,-1.41754021130802,0.220846574299134,-6.41866515614579,1.37474410999915e-10,2.46382918225778e-08,Down
ENSAMXG00000010810,285.70678790347,-1.12801037047015,0.176410646969167,-6.39423067626581,1.61357680217814e-10,2.80777374568004e-08,Down
ENSAMXG00000016434,61.0405184789902,-2.5666796101319,0.401451388502981,-6.39350039291952,1.62130580266997e-10,2.80777374568004e-08,Down
ENSAMXG00000018210,196.91567692837,-1.41460443976645,0.221208355969638,-6.3948960407292,1.60656622722287e-10,2.80777374568004e-08,Down
ENSAMXG00000015361,710.558588594347,0.897300647897832,0.140463963266231,6.38811996353198,1.67937576036341e-10,2.8760242882757e-08,Up
ENSAMXG00000014938,12.7895091470093,-6.91151798353947,1.08317485513261,-6.38079618520436,1.76169643990152e-10,2.98384914595628e-08,Down
ENSAMXG00000019662,562.538076545846,1.04382172481811,0.163975345852338,6.36572357504329,1.94371215365038e-10,3.22133714238853e-08,Up
ENSAMXG00000020784,1676.70213354156,1.8036326251616,0.283326752137212,6.36591007222686,1.94135157075755e-10,3.22133714238853e-08,Up
ENSAMXG00000001215,14.2352901703323,-7.0711954310997,1.11651856224639,-6.33325380356662,2.40044207107872e-10,3.89452775174066e-08,Down
ENSAMXG00000010351,62.8169159130345,-2.55395395504944,0.403233931888622,-6.33367817804299,2.39384566393991e-10,3.89452775174066e-08,Down
ENSAMXG00000021794,80.5131956293832,-2.63717631579797,0.416524745956452,-6.33137968727959,2.42978597587679e-10,3.90107200481135e-08,Down
ENSAMXG00000001808,419.639615060195,-1.17326920813294,0.185593655291814,-6.32170968500067,2.5868504421562e-10,4.11042534690242e-08,Down
ENSAMXG00000015418,733.732610468073,1.68167622821467,0.266167300997736,6.31811729656821,2.64769026368778e-10,4.16416837083874e-08,Up
