,CHOY.16.01,CHOY.16.04,CHOY.16.05,CHOY.16.08,CHOY.16.11,CHOY.16.12,CHOY.16.R.01,CHOY.16.R.03,CHOY.16.R.04,CHOY.16.R.05,CHOY.16.R.2
ENSAMXG00000000056,7.05908840459202,7.34942878748138,7.0001281463372,7.33362054237254,7.7936370193023,7.4619217242747,7.20132294473777,6.71735669451604,7.3826619206879,7.44497677783725,7.61376706965131
ENSAMXG00000000058,7.68293429217938,7.42785160374999,7.92346347098605,7.21944701815833,6.81815525815334,7.29647838191241,7.42193841787086,6.66331952554345,6.83891452195777,6.77222484755515,7.10349796645263
ENSAMXG00000000059,8.94620401644133,8.7489434831636,9.02500202659317,8.89653706774155,8.95216189569343,9.14154211932059,9.45765759895301,8.85410710526856,9.02084240470691,9.26567353286359,9.24811677977202
ENSAMXG00000000060,8.93173980787905,9.17776093104391,8.64735090632903,8.43723866363399,8.83705787763071,8.97163525723441,9.08268309343501,8.76164624044934,8.52207533823044,8.97557255630193,8.83621372366744
ENSAMXG00000000061,7.65155446323037,7.78895128748438,7.62152382188885,7.50920803128684,7.5177307306866,7.68161762049582,8.04795663498913,7.92646123473805,7.890449569362,7.57506821999365,8.07842079655718
ENSAMXG00000000063,7.55824182650845,7.54557536470797,7.27218489007858,7.1193874617075,7.21375605097266,7.88615874885396,7.74228115470408,7.27379753483084,7.85337708062342,7.7080269534508,7.27713786725882
ENSAMXG00000000064,10.532950346392,11.2179880394835,11.1115157853374,10.3691645271755,12.3592496311437,11.3374919103168,11.0900972507799,11.0539751068809,10.8709791094103,11.0575812097609,11.0028588213883
ENSAMXG00000000066,6.75089611749847,6.92729491852367,6.44682383265897,6.8984077688346,6.91939636673671,6.73432262266164,6.50391744671537,7.25271291250781,7.05668984812167,7.07327989699419,6.9424680348781
ENSAMXG00000000068,6.55824254783585,6.58040767014921,6.44682383265897,6.63104374132458,6.39909412387107,6.47858485256974,6.59251622226278,6.43087546052724,6.69726149350552,6.68517508526789,6.36603977853723
ENSAMXG00000000069,6.58644006948363,6.66063115028171,6.15686422485647,6.83236319118137,6.27428557865619,6.73432262266164,6.31422274520445,6.80114038118168,6.49891302556858,6.52603329176669,6.1381004632802
ENSAMXG00000000070,6.51411214819786,7.16360771985669,7.22506595762985,7.16213601378625,6.5775634549709,7.27862300285418,7.1440059065565,6.80114038118168,6.64495988692487,6.54758893718865,6.51542716811645
ENSAMXG00000000071,9.92141100074735,9.25936751842116,9.62367794809208,8.58894135557113,9.23929601253287,9.40442468554241,9.76293204076327,9.26470368540448,9.09943400804351,9.85191186358293,9.0755251169076
ENSAMXG00000000072,6.64025435790533,6.33760299706285,6.26829399657777,7.04745340628407,5.57604768444611,6.53610831439353,5.57604768444611,5.57604768444611,6.07529869773238,6.13105618398725,6.27813373174553
ENSAMXG00000000073,8.83504741489112,7.62108881125134,8.42169360045608,8.64149653675324,7.8469186555846,7.51496372330601,8.59106808785828,8.78868802631503,8.28399235513421,8.20955617412929,8.41891731483968
ENSAMXG00000000074,7.55253431694894,7.70008775478583,7.51242821815971,7.41777212450943,6.60019889423317,7.49250584861255,9.10531990884163,7.74579247199016,8.73033645152453,8.17331731009318,8.52299378905895
ENSAMXG00000000075,7.39422805869641,6.92729491852367,6.11429112646709,7.05670157520723,7.39658037940648,7.14545396917724,6.84188300966785,6.6996882897658,5.57604768444611,6.82094912894765,6.85190379787177
ENSAMXG00000000076,10.4740712923374,10.2421811312108,9.7570120038914,9.81783762365333,10.0980377595407,10.2127313092662,10.1613363223789,9.5002515323036,9.49711819598632,10.1600098087671,9.69714404520172
ENSAMXG00000000077,6.52908196743036,6.73439254627012,6.44682383265897,6.46099240106782,6.5775634549709,6.60716305237672,6.38296848079569,6.20223783479096,6.39697876751564,6.29960650741396,6.78675885690194
ENSAMXG00000000078,7.77276625315796,8.56712896518935,8.48277211159848,7.77030816621522,8.40176927912866,8.19808190165593,8.21468502281495,8.75822922186114,8.53924305116812,7.9941325564227,7.76819207269476
ENSAMXG00000000080,5.57604768444611,5.57604768444611,8.88719339519937,8.48055353704001,9.03668716525004,5.57604768444611,5.57604768444611,5.57604768444611,5.57604768444611,5.57604768444611,9.74739610230662
ENSAMXG00000000081,6.58644006948363,6.49198900503411,6.59159572377608,6.63104374132458,5.57604768444611,6.62405926400874,6.38296848079569,6.5009414470216,6.69726149350552,6.89727619676092,6.44432939118653
ENSAMXG00000000082,6.92118651009446,6.71648601067908,6.79014461527868,6.80936218663138,6.5775634549709,6.51737724980645,6.44579596800365,5.57604768444611,6.7706476599344,6.26939406564582,6.1381004632802
ENSAMXG00000000084,9.09071109219324,9.2568868203861,9.7570120038914,9.44109873385433,9.71841730951559,9.35674631278101,9.02208094300055,9.70243156032531,9.84241383315865,9.27766154943934,9.38850993455372
ENSAMXG00000000085,10.1289366816584,9.84329443979552,8.13439188127716,8.14815747012927,9.59587103092686,9.89637772096828,10.1910946102977,9.37519731306104,9.86272656234032,10.1234340908546,8.61984055618075
ENSAMXG00000000086,7.21238936735658,7.06471995696815,6.87599603987189,7.00966797697531,7.04087181583348,7.43848085852936,6.08322038031112,7.00453229734434,7.00153352815092,6.86742246763376,5.57604768444611
ENSAMXG00000000093,7.61395184438602,8.62651802897771,8.41688212222839,6.86591525978715,7.92654532905836,8.42584975421816,7.78967485315498,7.33490966355091,7.83444472932922,7.84211933311858,7.44750001790901
ENSAMXG00000000095,8.13012039728384,7.13967828323642,7.53127506020798,8.12863452958494,7.64575867235779,7.17529643777964,7.93812228280931,7.69459581056768,7.890449569362,8.01787150377133,8.0668301782444
ENSAMXG00000000097,10.1062898965252,9.85805006212817,9.99618186064222,10.6079298840543,10.8336098323633,9.71056277103932,9.4854497188904,10.2934958924439,10.2287110019961,10.2656642453517,9.49124047704439
ENSAMXG00000000098,6.34635519172556,6.89756733116888,5.57604768444611,6.08193726166699,5.57604768444611,5.57604768444611,6.23770326483285,6.40604339015925,6.69726149350552,6.13105618398725,6.44432939118653
ENSAMXG00000000099,5.92380387068679,6.13783123247231,6.23338757857848,6.04956393703876,6.20176793044977,5.57604768444611,6.08322038031112,6.23554629683605,6.49891302556858,6.43362754400067,6.60162954573153
ENSAMXG00000000101,6.80726162628645,7.07756371673244,6.93987210271477,6.83236319118137,7.12392866520104,6.73432262266164,6.76107864760827,6.71735669451604,6.6176413692319,6.86742246763376,6.78675885690194
ENSAMXG00000000103,7.90133293472949,8.03048246458263,7.89549125855741,8.38275845145186,8.53411425867485,8.11134029592814,8.63874078694254,8.95285817422574,8.42676030685336,9.25115354972354,8.34492940911658
ENSAMXG00000000106,12.9358926581593,11.3609321405906,11.854964841032,13.4642103955145,11.481192533383,11.6114037366794,13.3039377560949,11.2288596010801,11.7262041118311,11.530281772865,12.627448790129
ENSAMXG00000000109,9.75885246256617,9.16192496175676,9.5819781204981,9.07307142564461,9.26908837124608,9.19900839228769,9.77000074618416,8.99976498684477,8.88970491509622,9.152984557947,9.04700955125793
ENSAMXG00000000110,8.45130069823851,7.29771933260014,8.10447185723635,7.73909643694904,7.82434652741296,8.22436821440125,7.57509253264214,7.42116762244005,7.34122552885302,7.71543771835876,7.31942553475562
ENSAMXG00000000111,6.72740508980413,6.51498695323415,6.33295042294407,6.21891014952341,6.5775634549709,5.96600894400607,6.15029496097937,6.60590386744448,6.7706476599344,6.95454887060206,5.57604768444611
ENSAMXG00000000112,7.00600489412299,6.91253617276254,7.63883299683907,7.31164063916403,7.20134138633,7.12511975206048,6.95224117047214,7.20938174960434,7.05668984812167,7.36960914097712,7.36028074409443
ENSAMXG00000000113,9.17540121088938,8.72746301994482,9.08019484238633,9.01594050314823,9.05860889306922,8.9741752188155,9.2092259037956,9.30482278060628,9.01679623484453,9.13462470165275,9.15779090579305
ENSAMXG00000000115,9.76465578794608,9.28150164767656,8.85935137726324,8.75112579000512,9.98555613489203,9.73459107431687,9.87467721619223,9.59259283434513,10.0863999506332,10.7521734508275,9.78396205352746
ENSAMXG00000000118,6.55824254783585,6.86696868220921,6.52236705692108,6.30936624610685,5.57604768444611,5.57604768444611,5.57604768444611,6.04439533487308,5.57604768444611,5.57604768444611,5.57604768444611
ENSAMXG00000000120,9.32473208927433,8.97195087123953,9.30761800508196,8.39252947039426,8.91138159527429,8.82158836111988,9.30995856088802,8.52423843543352,8.99639040054432,8.95774401475211,8.77122528491043
ENSAMXG00000000122,8.72163196794529,8.11162181529595,8.10447185723635,7.48375989121227,8.26642266709527,8.41076873540356,8.08577833456233,7.98161190214779,8.35071936042104,8.29377210163928,8.17851423054095
ENSAMXG00000000123,6.32728481096665,6.13783123247231,5.57604768444611,6.49460115380827,6.16191969846721,6.09075572814256,6.78874956013233,5.57604768444611,5.57604768444611,6.54758893718865,6.76978521139633
ENSAMXG00000000124,10.8686463221987,10.5651221888084,10.599546368797,10.4871700553511,10.4844354370959,10.5742478325592,11.0934737244472,10.9460459580526,10.8864627898802,10.9551417320638,11.0175206598384
ENSAMXG00000000125,9.12917594713799,9.16986497470411,8.92460238262091,9.59889274078867,9.72622615941865,9.25632724447195,9.63710302165094,9.41020615949738,9.27878117639631,10.0708867361368,9.74739610230662
ENSAMXG00000000126,9.19105868372372,9.47090818944871,9.3752037487356,9.91426652892972,9.36996656975553,8.80166039468798,9.02446027783588,9.87646503192567,9.5510458676732,9.25843203124815,8.98218222525977
ENSAMXG00000000127,6.81816019257321,6.97037986711533,6.79014461527868,6.16813564430281,5.57604768444611,5.57604768444611,6.31422274520445,5.57604768444611,5.57604768444611,5.57604768444611,6.9424680348781
ENSAMXG00000000129,7.49997279860481,7.54557536470797,7.59511385953623,7.60031589413312,7.35340491015351,7.41458822839514,7.09395544089293,7.81562007580194,7.31279414894609,7.44497677783725,7.3501951723558
ENSAMXG00000000130,8.78525197451938,8.55494244522571,8.77982772807304,8.54891298951617,8.65498720494987,8.6757815031983,8.9106535207533,9.14231339851575,9.14087516084007,9.30602813573829,8.63920008288409
ENSAMXG00000000131,8.02656680068863,8.50510399883695,7.4640353437603,8.23453404911315,7.9405252978312,8.55810436961153,7.91714905461675,7.76713365302551,7.58290743531316,7.8817786688455,8.15144024080339
ENSAMXG00000000133,6.36492287702267,6.21192302236405,6.54607466196636,6.35034947767145,6.16191969846721,6.37227897873165,6.08322038031112,6.45492858654835,6.3203834299061,5.57604768444611,6.46873844397947
ENSAMXG00000000134,8.97268033945087,8.50932588983454,8.53686851255562,8.76859431905612,8.70774925375284,8.77561777898739,8.94626832734294,8.79203205146712,8.8492395519802,8.95774401475211,8.97007023898845
ENSAMXG00000000135,9.51334699940045,9.5356722760285,9.85646305305056,10.0578387401915,9.57438709324911,9.98285881950999,10.7995755881573,10.4670891723901,10.4900861083098,10.1483545047676,10.5473570819688
ENSAMXG00000000137,16.3924817500043,16.780524765488,16.7875128096994,15.8992085046294,16.9610363895415,16.9422954823665,16.2734095361281,16.6467009163717,16.7620259944538,16.3399333350399,16.6813193620767
ENSAMXG00000000138,7.01503161566345,7.37942849732695,6.61349357748881,7.32633826481956,6.68540919610485,6.09075572814256,6.23770326483285,5.57604768444611,5.57604768444611,6.50390484304793,5.57604768444611
ENSAMXG00000000139,7.42627620397661,6.91253617276254,7.61278089374563,7.6350099043392,7.06924558671466,6.67292841217628,6.50391744671537,7.24202842813068,7.28367529111376,7.48100705074454,7.59725745070728
ENSAMXG00000000140,8.59298579229713,8.92882499101897,9.286961920295,9.34857297365964,9.44298715992576,8.64086158698334,7.39050405637356,8.52018995397471,8.02096633793366,7.90757543037901,7.54640591624452
ENSAMXG00000000142,7.01503161566345,7.52816713667053,7.05722775658626,7.55861177420605,6.7445413629871,7.3053072945494,6.7469437814111,6.84820469062196,6.64495988692487,6.62878308843264,6.41912803124458
ENSAMXG00000000143,7.13426819955949,7.07756371673244,6.98537637625346,7.31901183722701,7.39658037940648,7.38199348333932,6.67295394401339,7.31488196309955,6.94343936954376,7.07327989699419,6.9424680348781
ENSAMXG00000000145,7.8201317768892,8.70198069599375,8.01053444014591,8.58329270285626,7.82434652741296,7.06183652415145,7.75429132175859,7.67958997079799,7.73547366193932,7.37928677193736,7.21074979403383
ENSAMXG00000000146,5.57604768444611,6.58040767014921,6.11429112646709,7.25097985797749,6.88673906621197,6.55443056218027,6.33789234778794,6.35373889797422,7.02022743954684,6.88245673557434,6.73492628724847
ENSAMXG00000000147,6.61375427380549,6.13783123247231,6.59159572377608,6.33016121970737,6.0721612430647,6.53610831439353,6.11784489232747,6.04439533487308,6.4324667956622,5.99669499181422,6.66113400587758
ENSAMXG00000000149,7.86135378689132,7.2763966434804,7.51242821815971,8.01806701414227,7.90529709945496,7.92460733038026,7.71792418168258,7.81562007580194,7.90860527003956,8.29856896050216,7.76819207269476
ENSAMXG00000000150,6.41794004586562,6.69823553562955,7.31751119970429,7.38340956566233,6.23908764157315,7.01756748668247,6.11784489232747,6.86342004688648,6.58945924102889,5.57604768444611,6.53781139909482
ENSAMXG00000000152,7.05908840459202,6.51498695323415,6.73484010410189,7.17049835323807,6.70553271354075,6.93550021583941,6.90462516928838,6.97776217120753,6.81667258015818,7.2683297930596,7.02592508852063
ENSAMXG00000000153,9.52981743299659,9.56998147883162,9.36785032800702,9.325311168991,8.69172487289393,9.56733832896046,9.22789121770134,9.16302816696487,9.1666315985929,9.16078110088915,9.13901692951787
ENSAMXG00000000154,7.84775529718735,7.13967828323642,7.13775387705203,7.81577624640382,7.15031452878105,6.83319103686298,8.56825268218137,7.96955080107126,7.7659563082312,7.95155313158701,8.15144024080339
ENSAMXG00000000155,6.99690302687828,6.73439254627012,7.40336667838812,7.00001505561162,6.62226715773995,6.93550021583941,7.16342873807018,6.84820469062196,6.79392689089389,7.12223429196244,6.27813373174553
ENSAMXG00000000156,8.49448787420169,8.20405205173119,8.33242200994186,7.97470506278432,8.34611702554493,8.27965092145623,7.75429132175859,7.30474199396536,7.12623206035737,7.13414999663665,7.52019445700689
ENSAMXG00000000157,7.89255197267871,7.30824010423949,7.12472375023749,7.25097985797749,7.01175217407265,7.26049650183351,7.75429132175859,7.42116762244005,7.34122552885302,7.14594290196579,7.49342617272971
ENSAMXG00000000158,5.57604768444611,13.0160786898979,12.2759577587715,5.57604768444611,5.57604768444611,14.4619195377529,14.5185405218326,13.985514735305,5.57604768444611,14.0338149027302,5.57604768444611
