"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000016416",372.986733793225,1.33807703173265,0.222976058438096,6.00098970761982,1.96118423508068e-09,2.24958010309521e-07
"ENSAMXG00000002009",180.710245157576,1.9161426771321,0.319358251507477,5.99997860737046,1.97343526498158e-09,2.24958010309521e-07
"ENSAMXG00000015583",24.528413260755,-5.49800458150663,0.91800975583442,-5.98904809732578,2.11072742163213e-09,2.38960366795599e-07
"ENSAMXG00000026476",28.9548622737602,-2.92803815454163,0.489474222782201,-5.98200685196144,2.20404998409597e-09,2.47828178143689e-07
"ENSAMXG00000017916",154.011494410428,1.65948180291596,0.278710049916118,5.95415128882292,2.61424890356036e-09,2.91965676533441e-07
"ENSAMXG00000007471",58.2268668637494,-2.00659432653371,0.337190079774787,-5.9509293033589,2.66624242707805e-09,2.95773966960894e-07
"ENSAMXG00000004028",36.8914117874225,-2.49896133196854,0.420325279989178,-5.94530343745416,2.75945200837292e-09,3.04073214975973e-07
"ENSAMXG00000008940",273.247875516295,-1.39866094598668,0.235396354510366,-5.94172730030569,2.82034319917304e-09,3.08724852577028e-07
"ENSAMXG00000013866",41.8846709144953,-3.00370903569429,0.506077440401497,-5.93527550509128,2.93352471663468e-09,3.19001513429307e-07
"ENSAMXG00000008037",74.6445149894013,2.21902460519836,0.37405021930335,5.93242428605223,2.98494051140751e-09,3.22471122307547e-07
"ENSAMXG00000013233",194.234255554894,1.4348115208621,0.241942160311038,5.93039063145308,3.0221482818864e-09,3.24370707475976e-07
"ENSAMXG00000008270",77.1514567580798,-1.88795300042799,0.31886582116223,-5.92083840640748,3.20304469718849e-09,3.41568553547281e-07
"ENSAMXG00000017926",744.319291341867,-0.991918849342323,0.16777071184314,-5.91234809964764,3.37264828736567e-09,3.57349381678636e-07
"ENSAMXG00000024806",219.496059082732,1.79952351616952,0.305104409240358,5.89805804724335,3.6780459232741e-09,3.87068160559618e-07
"ENSAMXG00000014988",150.234692476256,2.50559123222796,0.424906981055404,5.89679940302335,3.70619963090664e-09,3.87068160559618e-07
"ENSAMXG00000008828",20.4088650889772,-2.94995871297104,0.500329184466524,-5.89603565923589,3.72338541526887e-09,3.87068160559618e-07
"ENSAMXG00000028264",432.657559536173,1.09399959115245,0.185832233260537,5.88702816490756,3.93201727060234e-09,4.06201959161163e-07
"ENSAMXG00000010461",239.101218313942,-1.43403964355296,0.24395529767338,-5.87828859315418,4.14529768930986e-09,4.25575313705607e-07
"ENSAMXG00000011920",955.926091056032,-1.61572088771422,0.275336146025919,-5.86817572278404,4.40616140938273e-09,4.4956445639313e-07
"ENSAMXG00000017602",78.9709872213328,-2.34843204822512,0.400754895296281,-5.86002086509489,4.62809015861214e-09,4.69311056636196e-07
"ENSAMXG00000000968",12.6485618487279,-6.89832397243277,1.17820159762104,-5.85496063352951,4.77123018120559e-09,4.80875997958214e-07
"ENSAMXG00000026123",63.047151472463,-1.58725544844379,0.27131505613246,-5.8502298806037,4.90894076191864e-09,4.91756859719717e-07
"ENSAMXG00000000565",1022.70077347671,-0.905856261502631,0.154890406754488,-5.8483690532137,4.96416204111897e-09,4.94292978178648e-07
"ENSAMXG00000015752",368.695629484293,2.10827975794485,0.36067066247163,5.8454428854764,5.052222643808e-09,5.00049030416182e-07
"ENSAMXG00000026036",73.4766336080653,-1.90138466374295,0.325743285495769,-5.83706479428766,5.31284390427849e-09,5.22714267225114e-07
"ENSAMXG00000014658",10.2972009711237,-6.59618613888433,1.13253337252408,-5.82427529193546,5.73609579596588e-09,5.61017321961657e-07
"ENSAMXG00000014177",10.1823190508353,-6.57701274973859,1.13027944279743,-5.81892627672722,5.92268479281401e-09,5.74770450075424e-07
"ENSAMXG00000004030",234.261420783659,1.23530038922227,0.21234256801201,5.81748822568823,5.97384685363068e-09,5.74770450075424e-07
"ENSAMXG00000018360",2524.66520073069,1.01107621721324,0.173809096709204,5.81716513321996,5.98540063832151e-09,5.74770450075424e-07
"ENSAMXG00000002432",18.2968547526493,-5.29883557330749,0.911029252043258,-5.81631771035151,6.01580784457913e-09,5.74770450075424e-07
"ENSAMXG00000003246",272.082376987936,-1.78464442978487,0.307012298265942,-5.81294117488078,6.13846369479112e-09,5.80155163151365e-07
"ENSAMXG00000013705",1588.37127026745,1.17136828978988,0.201514118197817,5.8128348537843,6.14236514922191e-09,5.80155163151365e-07
"ENSAMXG00000018296",500.861412639853,-1.02896663458301,0.177052564541322,-5.81164490471335,6.18619524589818e-09,5.80975120565062e-07
"ENSAMXG00000010569",1818.68928255449,-1.84781830635751,0.318251862346888,-5.80615080374119,6.39253900083451e-09,5.96962017767196e-07
"ENSAMXG00000005674",313.58363544878,1.03690877372333,0.17866508322803,5.80364531775872,6.48884638641665e-09,6.02551359107196e-07
"ENSAMXG00000015089",382.475940280508,-1.85804992982719,0.321016544006174,-5.78801922991065,7.12212595822521e-09,6.57662681360361e-07
