gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000218,556,434,360,739,254,382,360,492,263,329,290
ENSAMXG00000000219,2651,1447,1501,1754,1140,2081,1261,936,583,773,843
ENSAMXG00000000220,0,10,0,0,0,7,9,0,0,0,0
ENSAMXG00000000221,65,177,52,81,79,98,71,59,40,44,61
ENSAMXG00000000222,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000223,4,16,0,14,14,0,0,0,0,14,0
ENSAMXG00000000224,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000225,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000226,290,0,0,0,137,0,0,101,0,0,0
ENSAMXG00000000227,0,0,0,0,0,50,0,0,0,0,0
ENSAMXG00000000228,643,725,355,438,611,790,961,457,808,560,880
ENSAMXG00000000229,0,11,0,0,0,5,21,0,0,0,0
ENSAMXG00000000230,8,0,8,26,0,2,0,3,0,0,11
ENSAMXG00000000231,779,516,619,632,339,275,454,612,404,376,321
ENSAMXG00000000232,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000233,107,54,95,95,48,66,68,16,10,17,27
ENSAMXG00000000234,725,255,367,565,256,366,386,259,171,400,234
ENSAMXG00000000235,44,48,37,50,15,39,28,13,9,4,17
ENSAMXG00000000236,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000237,63,83,99,157,53,58,77,47,23,31,66
ENSAMXG00000000238,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000239,0,0,0,5,0,0,0,0,0,0,0
ENSAMXG00000000240,105,54,50,41,57,13,61,86,58,52,64
ENSAMXG00000000241,486,355,233,525,305,262,394,327,241,242,258
ENSAMXG00000000242,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000243,234,116,173,109,127,119,66,104,34,81,73
ENSAMXG00000000244,713,349,384,290,283,428,495,302,220,408,309
ENSAMXG00000000245,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000246,0,6,0,24,4,0,0,8,0,6,6
ENSAMXG00000000247,413,219,211,410,155,302,433,438,159,327,302
